,Cases 3,Cases count1,Count (Cases 2),Created by,Created time,ID,Name Markdown,airtable_createdTime,airtable_id,auto_gen_id,case count3,count total,county,locality,locality_built,location subtype,location type,name,primary field,state,address,coordinate specificity,latitude,longitude,modern name,Cases,Notes,alternative name,Cases 2
10,,1,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T17:55:21.000Z,hc.loc.000018,"[District Court of the United States, District of Nebraska (Lincoln, Nebraska)](hc.loc.000018)",2023-05-16T17:55:21.000Z,rec1cmsdWMJqvqWKl,18,0,1,Lancaster,Lincoln,"Lincoln, Lancaster, Nebraska","[""federal district court""]",court,"District Court of the United States, District of Nebraska","District Court of the United States, District of Nebraska (Lincoln, Nebraska)",Nebraska,,locality,40.813883273944036,-96.70166950546762,,['recNthQdJf1ewogo4'],,,
11,['recRQO288fK0YEjF0'],0,0,"{'email': 'mbrooks12@huskers.unl.edu', 'id': 'usrYUmUR3yFmQ7Bci', 'name': 'Molli Brooks'}",2024-01-22T15:10:50.000Z,hc.loc.000230,"[Bayard City Jail (Bayard, Nebraska)](hc.loc.000230)",2024-01-22T15:10:50.000Z,rec1j2QC7spdZuNiL,230,1,1,Morrill,Bayard,"Bayard, Morrill, Nebraska","[""city jail""]",site of significance,Bayard City Jail,"Bayard City Jail (Bayard, Nebraska)",Nebraska,,,,,,,,,
12,['recX0LJZpjseaVjfw'],0,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T18:03:08.000Z,hc.loc.000094,"[Navy Yard Hotel (Unspecified, Washington)](hc.loc.000094)",2023-05-16T18:03:08.000Z,rec1xfZ0cOC89QcBz,94,1,1,Kitsap,Unspecified,"Unspecified, Kitsap, Washington","[""hotel""]",site of significance,Navy Yard Hotel,"Navy Yard Hotel (Unspecified, Washington)",Washington,,county,47.64089238242705,-122.65030772968531,,,,,
13,,19,0,"{'email': 'ekrohn3@huskers.unl.edu', 'id': 'usr2WztX1SxQ5Fvvu', 'name': 'Esme Krohn'}",2023-07-26T15:19:26.000Z,hc.loc.000168,"[First Judicial District of Washington District Court (Walla Walla, Washington)](hc.loc.000168)",2023-07-26T15:19:26.000Z,rec2i79rCV8W26cgw,168,0,19,Walla Walla,Walla Walla,"Walla Walla, Walla Walla, Washington","[""state district court""]",court,First Judicial District of Washington District Court,"First Judicial District of Washington District Court (Walla Walla, Washington)",Washington,"317 W Rose St, Walla Walla, WA 99362",building,46.065728060864025,-118.34415894074179,,"['recVhwHzcARH91nqG', 'recxKfeGDxTPWbolY', 'reckj07MSEEoO9fdr', 'recbNsElmXvWLlHzA', 'recbRPI4nMkrugRPX', 'recyJ0Ht2x7L2wkWZ', 'recaPLGkAjPrp5atX', 'recQm4EO67xkqFCRq', 'rec5Mig44itwMoB2U', 'recM2Gv6SjgU29UNj', 'recD5Cay63gv2zV3Z', 'rec1sHc16oinpeUqi', 'rec19yMmq7b8XSwHm', 'recRch5iphAc7UNu0', 'recgCsRZjiNlLmeOu', 'reccv6pWaj5EdL0mK', 'recuG5RuP0XkPAtwd', 'recGkFPuiBgOad8TC', 'rectmBqPVpdCaRFTk']",,,
14,,103,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T17:55:21.000Z,hc.loc.000019,"[Third Judicial District Court for the Territory of Washington (Seattle, Washington)](hc.loc.000019)",2023-05-16T17:55:21.000Z,rec2kC95FqUh5mHZY,19,0,103,King,Seattle,"Seattle, King, Washington","[""territorial district court""]",court,Third Judicial District Court for the Territory of Washington,"Third Judicial District Court for the Territory of Washington (Seattle, Washington)",Washington,,locality,47.60682112835133,-122.3337844597094,,"['recUOqxAcCO9HAmSI', 'recX5F3CA34LBiRgL', 'recvzwK0Pqrvq89BC', 'rec9a2h2xRy0fUjXq', 'rec2gByeYaxhoiWX8', 'rec5x4c03Dp4zb5Si', 'recmXVpkCebJg8Utr', 'rec9f9r5m0Z7EaViY', 'rec1A9OLLr4cNjSeY', 'recvMcTNhASsZhLHn', 'recZzSjHew6Mcw36v', 'recwWqAnwn0GTSYcy', 'recDWGySyXf5x9RXf', 'recEQo0SlW4lkIkf9', 'recURgGBAnW6iUP7f', 'recvJqoscxj1rkTED', 'recp2LJtZX9GqKKmJ', 'reck1ZLkp6vFNuV5A', 'rec929cFp0ngpWqfw', 'rec8AnoyP9rAfDkR9', 'recsHHeC4W13S9hkA', 'rec9rdwkpPBSYn4JI', 'recSk0a03Y7avqcj4', 'recnHEtvXcrOGFIwU', 'recXTriH6GfjH712k', 'rec0i0hNo9p2eWI4J', 'recVYOsaHaUmkTset', 'reco5ZI0KWc6e4U6V', 'recwQGxFnYB6wsGsI', 'rec1mO304jceDiM0i', 'recwT8Eltxs55Ebuq', 'rece5Mmr2mGOpBoPA', 'recALysKJLAGkauTj', 'recmvh2sspiWM3Ixl', 'recicsdqF8kcbQR8w', 'recohmAIcDQWzzNyL', 'recYrtaat1IkmpKda', 'reckcL0tbojfrgGr4', 'recAwvhfIF76Zyz4a', 'recPODycbKr4aOqbf', 'recUSpi8zgBv37vDl', 'recDRy2no2r8Ng4In', 'recyzLl3PFx5RKbny', 'recE40W186mJ8WS1z', 'recIVaVnkdadoIMhG', 'reccxC1CZYdO1itdE', 'recRqwiK7pFYs5deI', 'recLOwLjSCBmnaSxV', 'recnahAxR6tfrxAeW', 'rech6BB28ZaFQqCiZ', 'recnr3bjQGI8YZh7N', 'recJOprF28Fe5k3LG', 'recGJmuH0XHLGg4xG', 'rech6K3iDAHX1h0qF', 'recl9z8B60HfxbiXG', 'recH2zFlLrk7QqaME', 'recsTsnSKE4ofsAK9', 'recUGL5EWeUxFT8gl', 'recjyLRTRes5wMA4P', 'recmJjzal99GfadXE', 'rec9z7LwDiQy66oKY', 'recvNKGm6oPWuFMGr', 'rec4ndq6BfnIhJ4Ky', 'recnxoEzz8FCRrWNk', 'rec5V0RTtPsAvh4pE', 'rec9IHIguwctlzQ36', 'recVHQOBWMNrg310W', 'rec9Duih7H1gIBOyB', 'recscPcigSEOb6DMt', 'rec9GMP1ONnP0NWVK', 'recFlDAYaATPoRjvH', 'reckxmKSX0Yb6mol0', 'reca8Hcc1MwFMnPgk', 'rec9iNIvZ2x8ozPjh', 'recFEo1pm8BshRE5T', 'recpElmMw6FKDGnKB', 'recFZSEM1j1gA1eYb', 'recnGgRldMK9iG8JT', 'recowj2v13Sm7WgMQ', 'recQ2A5jwxUwyQBKp', 'rec7YyD6MKtlf1fFl', 'recmEw1tDleqJ3NQL', 'recaSa6nbm6d39bBw', 'recCYEfuOE3r4ewOa', 'recxBscGn6k6JwQu4', 'recfuklMsbg3ckwqW', 'recIHfHnIWvVtER8M', 'recohtcVT3Q7iA4do', 'recaosjse68wXgs2q', 'rec6TcpATBlxDXlmI', 'recKSYnuDUptIQup4', 'recrrmmdcTTI5MgEn', 'reciXQm2WTWXftu99', 'reckBsGFoYL9Dgy82', 'recqBSlwW26PLi5vO', 'recw672dm1x9BkIEt', 'receuqLRiAaAwnrqJ', 'recozrcBRJIAeJGSc', 'reco79kRJkjfHSqb3', 'reccHkRjZyBQPFvYW', 'recvggce0GTTzCpED', 'recGME0YRRzR5WfxV', 'recpspYet6ewWy0M0']",,,
15,"['recCVJ0CmTjsowvVp', 'recUZx2iOG5W9tMWO']",0,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T18:03:08.000Z,hc.loc.000095,"[Bureau of Immigration (Seattle, Washington)](hc.loc.000095)",2023-05-16T18:03:08.000Z,rec2wJEnb5BH3eFvK,95,2,2,King,Seattle,"Seattle, King, Washington","[""federal office""]",site of significance,Bureau of Immigration,"Bureau of Immigration (Seattle, Washington)",Washington,,locality,47.60682112835133,-122.3337844597094,,,,,
16,['rec98qJyEuLUjTzqk'],0,0,"{'email': 'ichilds2@huskers.unl.edu', 'id': 'usrRpph1dSJ7HorPE', 'name': 'Isabelle Childs'}",2023-06-29T16:00:33.000Z,hc.loc.000133,"[Common Jail of Lancaster County (Lincoln, Nebraska)](hc.loc.000133)",2023-06-29T16:00:33.000Z,rec2wjBzg9XvVILOc,133,1,1,Lancaster,Lincoln,"Lincoln, Lancaster, Nebraska","[""carceral facility""]",site of significance,Common Jail of Lancaster County,"Common Jail of Lancaster County (Lincoln, Nebraska)",Nebraska,,locality,40.81344319564763,-96.76423219277473,,,,,
17,['rec20ceSspQNA15Pl'],0,0,"{'email': 'kjagodinsky@unl.edu', 'id': 'usrTWraD2Uk9A3vtt', 'name': 'Katrina Jagodinsky'}",2025-01-09T14:32:05.000Z,hc.loc.000306,"[Albuquerque Indian School (Albuquerque, New Mexico)](hc.loc.000306)",2025-01-09T14:32:05.000Z,rec3XlqgS4FexnR9T,306,1,1,Bernalillo,Albuquerque,"Albuquerque, Bernalillo, New Mexico","[""indigenous boarding school""]",site of significance,Albuquerque Indian School,"Albuquerque Indian School (Albuquerque, New Mexico)",New Mexico,,,,,,,,,
18,['recKCjMyT1hqk1xiI'],0,0,"{'email': 'IFERRELL2@UNL.EDU', 'id': 'usrK8UqaJVS77I9xs', 'name': 'Isabella Ferrell'}",2024-07-01T19:46:19.000Z,hc.loc.000258,"[Ryther Home (Seattle, Washington)](hc.loc.000258)",2024-07-01T19:46:19.000Z,rec3iRUriALyeP3QU,258,1,1,King,Seattle,"Seattle, King, Washington","[""juvenile facility""]",site of significance,Ryther Home,"Ryther Home (Seattle, Washington)",Washington,,,,,,,,,
19,"['reckmIvGZT3gdYEBi', 'recTe6RJwj83bFtvN', 'rec2Umpz0FZYpGDe7', 'rec5XfOO2ixEdqSAn', 'rec1tri84OYhsZQ1x', 'reczz6Gi8zhPiepLT', 'recVDoFsc7wzEUn4E', 'recBvtvQ0TgxQhN4b', 'recS4RiA1M1kOuMrW', 'rece7SH2Ulc7wuZPz', 'recaPnZEY5ebdDls5', 'rec4wmCN47ckOgFNN', 'recLRbyRT31orFlmP', 'recTOthugcPnyZnI5', 'rec7YWtVBCOtknY7K', 'recb7Yxn6BNniz8f4', 'recsj6V1uBR0lBUyS', 'rec3oYowpYM5GCMY7', 'recBhZo8mwgwsCQIU', 'reck269zEEqtx5IvS', 'recrP2agAL5ciT2ae', 'recrkchTDeDD4TQX0', 'recCxzQ7oRyc8QVbG', 'recouyVfGGUmDpxbI', 'recSdmhMnPHf5phRs', 'rec1r1gXNN15WfXs6', 'rec1cOAQbWM2vD8yF', 'recmwjWoF1KHnsq2w', 'recmoCRHFbPfLeWJD', 'recBXQkOOZoL4nZMG', 'recARJqlYj9ni8iDr']",0,0,"{'email': 'cory.james.young@gmail.com', 'id': 'usruK6Q7ifitzmUZM', 'name': 'Cory Young'}",2023-05-16T18:03:08.000Z,hc.loc.000096,"[Nebraska State Hospital for the Insane (Lincoln, Nebraska)](hc.loc.000096)",2023-05-16T18:03:08.000Z,rec3ibf9U52qIzfHS,96,31,31,Lancaster,Lincoln,"Lincoln, Lancaster, Nebraska","[""insane asylum""]",site of significance,Nebraska State Hospital for the Insane,"Nebraska State Hospital for the Insane (Lincoln, Nebraska)",Nebraska,,locality,40.813883273944036,-96.70166950546762,,,,,
20,['recPG4q2mrS9TnsGd'],0,0,"{'email': 'kjagodinsky@unl.edu', 'id': 'usrTWraD2Uk9A3vtt', 'name': 'Katrina Jagodinsky'}",2024-08-30T15:39:03.000Z,hc.loc.000282,"[Boys' and Girls' Aid Society (Seattle, Washington)](hc.loc.000282)",2024-08-30T15:39:03.000Z,rec3jX5F6He93vwNi,282,1,1,King,Seattle,"Seattle, King, Washington","[""juvenile facility""]",site of significance,Boys' and Girls' Aid Society,"Boys' and Girls' Aid Society (Seattle, Washington)",Washington,,,,,,,"Founded in 1890 by Cicero Newell and operating as a privately-run school and home for ""neglected, indigent, and unfortunate"" children. chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.seattleschools.org/wp-content/uploads/2021/07/burbank.pdf",Boys' and Girls' Industrial School,
21,"['recaSjmdjwUJBg1fm', 'recrbJbpWq8KgnGkA', 'reccHkRjZyBQPFvYW', 'recFOBYwecTtS5n7g', 'recjRzQOLnFitj7Xi', 'recyIM2bKguQsZEAq', 'recUywyp8el4Sx7yh', 'rec0YPhPQtd9CjiDI', 'recZUcvwJcH2xKHX7', 'recijRxokqV5dHr6C', 'rechcpd1el12ZLpUf', 'recsLOSiN6c9hSGtG', 'reciCZ1rZcQ2wKN9C', 'recJ6fLKW7SRPHW3W', 'receN42io12Az1V1h', 'recLIqIpUdNMvmM1d']",1,0,"{'email': 'asynya2@huskers.unl.edu', 'id': 'usrsxXrBoy7sdssaI', 'name': 'Anna Synya'}",2023-09-15T18:17:19.000Z,hc.loc.000195,"[Pierce County Jail (Tacoma, Washington)](hc.loc.000195)",2023-09-15T18:17:19.000Z,rec3rjYyJWKmU7r15,195,16,17,Pierce,Tacoma,"Tacoma, Pierce, Washington","[""carceral facility""]","court, site of significance",Pierce County Jail,"Pierce County Jail (Tacoma, Washington)",Washington,,,,,,['recnVYMse4Bnbjs0k'],,,
22,['reccoF9BXF4PxlUtc'],0,0,"{'email': 'ethand479@gmail.com', 'id': 'usrbjsFnLIzOrzoQf', 'name': 'Ethan Dunn'}",2023-07-06T18:46:35.000Z,hc.loc.000150,"[Municipal Court of Chicago  (Chicago, Illinois)](hc.loc.000150)",2023-07-06T18:46:35.000Z,rec4YyIU3iPa6ORP2,150,1,1,Cook,Chicago,"Chicago, Cook, Illinois","[""county court""]",site of significance,Municipal Court of Chicago ,"Municipal Court of Chicago  (Chicago, Illinois)",Illinois,,,,,,,,,
23,"['recF6aSUEAWVeXbon', 'reckni7lZR2AeezOg']",0,0,"{'email': 'mbrooks12@huskers.unl.edu', 'id': 'usrYUmUR3yFmQ7Bci', 'name': 'Molli Brooks'}",2023-10-23T15:48:55.000Z,hc.loc.000210,"[Alameda County Jail (Alameda, California)](hc.loc.000210)",2023-10-23T15:48:55.000Z,rec4hKLdxBqVqA79M,210,2,2,Alameda,Alameda,"Alameda, Alameda, California","[""carceral facility""]",site of significance,Alameda County Jail,"Alameda County Jail (Alameda, California)",California,,,,,,,,,
24,['recD34znPx380pvy9'],0,0,"{'email': 'mbrooks12@huskers.unl.edu', 'id': 'usrYUmUR3yFmQ7Bci', 'name': 'Molli Brooks'}",2024-01-22T15:45:10.000Z,hc.loc.000231,"[Thayer County Jail (Hebron, Nebraska)](hc.loc.000231)",2024-01-22T15:45:10.000Z,rec4q0wEyTxrqAmhR,231,1,1,Thayer,Hebron,"Hebron, Thayer, Nebraska","[""county jail""]",site of significance,Thayer County Jail,"Thayer County Jail (Hebron, Nebraska)",Nebraska,,,,,,,,,
